Feature,Correlation
sloc_count,0.9999999999999998
total_test_time_s,0.20979001921269694
build_time_s,0.20654728618211554
benchmarking_time_s,0.13035000315030718
verify_time_s,0.12424493041512324
total_tcp_sockets,-0.10099925919511188
time_starting_database_s,0.06536385342642069
transfer_sec,0.024225272648589005
connections,0.023064827043385184
latency_p50,-0.019549817213692956
read_errors,-0.018109779454448718
latency_p90,-0.017960197196645357
latency_avg_ms,-0.017059540804635658
time_until_accepting_requests_s,-0.014054694250281757
latency_p75,-0.01322510012733635
scale_factor,-0.012660431097241338
threads,0.011112644771066748
write_errors,-0.009637595631378369
throughput,-0.006845065874071655
total_requests,-0.0065572152501113595
requests_sec,-0.006556660640646222
timeout_requests,0.004970309576734944
latency_max_ms,-0.003238883846269026
latency_std_ms,-0.003162953457146259
latency_p99,-0.003150322112288637
system_max_turbo_frequency,-4.13115418024744e-15
wrk_duration_sec,NA
connect_errors,NA
duration,NA
system_cores,NA
system_memory,NA
system_base_frequency,NA
system_cache,NA
network_bandwidth,NA
