Column,Variance
wrk_duration_sec,0
connect_errors,0
duration,0
system_cores,0
system_memory,0
system_max_turbo_frequency,0
system_base_frequency,0
system_cache,0
network_bandwidth,0
timeout_requests,14.841479947960714
time_starting_database_s,17.09159593316149
time_until_accepting_requests_s,32.20287213856528
threads,182.98904354029756
build_time_s,11943.571681310286
latency_std_ms,19367.129296623854
scale_factor,24558.071279228323
benchmarking_time_s,34488.3480827859
latency_p50,39794.18018131228
verify_time_s,40291.717117471526
latency_avg_ms,42291.51678922136
connections,46501.02170671326
transfer_sec,47098.04592720329
total_test_time_s,52370.61733391279
latency_p75,68822.2421821855
latency_p90,127598.07470005398
latency_p99,402031.51681575365
sloc_count,572443.0461113142
latency_max_ms,977573.114201894
total_tcp_sockets,11512087.416340437
write_errors,77228183.9089208
read_errors,3638386132.8461475
throughput,170678965774.01636
requests_sec,171262647765.91898
total_requests,39047930789349.66
